  0.6000   4.5438E-01   2.7618E-01   1.9155E-01   1.4463E-01   1.1551E-01
  0.6100   4.4535E-01   2.7169E-01   1.8881E-01   1.4273E-01   1.1407E-01
  0.6200   4.3656E-01   2.6728E-01   1.8612E-01   1.4085E-01   1.1265E-01
  0.6300   4.2800E-01   2.6295E-01   1.8347E-01   1.3900E-01   1.1126E-01
  0.6400   4.1965E-01   2.5872E-01   1.8086E-01   1.3718E-01   1.0987E-01
  0.6500   4.1152E-01   2.5456E-01   1.7829E-01   1.3539E-01   1.0851E-01
  0.6600   4.0359E-01   2.5048E-01   1.7577E-01   1.3362E-01   1.0717E-01
  0.6700   3.9585E-01   2.4649E-01   1.7328E-01   1.3187E-01   1.0584E-01
  0.6800   3.8831E-01   2.4257E-01   1.7084E-01   1.3015E-01   1.0453E-01
  0.6900   3.8095E-01   2.3872E-01   1.6843E-01   1.2845E-01   1.0324E-01
  0.7000   3.7377E-01   2.3495E-01   1.6606E-01   1.2678E-01   1.0196E-01
  0.7100   3.6676E-01   2.3124E-01   1.6373E-01   1.2513E-01   1.0070E-01
  0.7200   3.5992E-01   2.2761E-01   1.6144E-01   1.2351E-01   9.9457E-02
  0.7300   3.5324E-01   2.2405E-01   1.5918E-01   1.2190E-01   9.8230E-02
  0.7400   3.4671E-01   2.2055E-01   1.5695E-01   1.2032E-01   9.7019E-02
  0.7500   3.4034E-01   2.1711E-01   1.5477E-01   1.1876E-01   9.5823E-02
  0.7600   3.3412E-01   2.1374E-01   1.5261E-01   1.1723E-01   9.4643E-02
  0.7700   3.2803E-01   2.1043E-01   1.5049E-01   1.1571E-01   9.3479E-02
  0.7800   3.2209E-01   2.0718E-01   1.4840E-01   1.1422E-01   9.2329E-02
  0.7900   3.1628E-01   2.0399E-01   1.4635E-01   1.1274E-01   9.1194E-02
  0.8000   3.1060E-01   2.0085E-01   1.4432E-01   1.1129E-01   9.0074E-02
  0.8100   3.0504E-01   1.9777E-01   1.4233E-01   1.0986E-01   8.8969E-02
  0.8200   2.9961E-01   1.9475E-01   1.4037E-01   1.0844E-01   8.7877E-02
  0.8300   2.9430E-01   1.9178E-01   1.3844E-01   1.0705E-01   8.6800E-02
  0.8400   2.8910E-01   1.8886E-01   1.3653E-01   1.0567E-01   8.5736E-02
  0.8500   2.8402E-01   1.8600E-01   1.3466E-01   1.0432E-01   8.4686E-02
  0.8600   2.7905E-01   1.8318E-01   1.3281E-01   1.0298E-01   8.3650E-02
  0.8700   2.7418E-01   1.8042E-01   1.3099E-01   1.0166E-01   8.2626E-02
  0.8800   2.6941E-01   1.7770E-01   1.2920E-01   1.0036E-01   8.1616E-02
  0.8900   2.6475E-01   1.7503E-01   1.2744E-01   9.9078E-02   8.0619E-02
  0.9000   2.6018E-01   1.7240E-01   1.2570E-01   9.7812E-02   7.9635E-02
  0.9100   2.5571E-01   1.6982E-01   1.2399E-01   9.6564E-02   7.8663E-02
  0.9200   2.5134E-01   1.6729E-01   1.2231E-01   9.5332E-02   7.7703E-02
  0.9300   2.4705E-01   1.6480E-01   1.2065E-01   9.4118E-02   7.6756E-02
  0.9400   2.4285E-01   1.6235E-01   1.1901E-01   9.2919E-02   7.5821E-02
  0.9500   2.3874E-01   1.5994E-01   1.1740E-01   9.1737E-02   7.4898E-02
  0.9600   2.3471E-01   1.5757E-01   1.1581E-01   9.0571E-02   7.3986E-02
  0.9700   2.3076E-01   1.5525E-01   1.1425E-01   8.9421E-02   7.3086E-02
  0.9800   2.2689E-01   1.5296E-01   1.1271E-01   8.8286E-02   7.2198E-02
  0.9900   2.2310E-01   1.5071E-01   1.1119E-01   8.7167E-02   7.1320E-02
  1.0000   2.1938E-01   1.4850E-01   1.0969E-01   8.6062E-02   7.0454E-02
  1.0100   2.1574E-01   1.4632E-01   1.0822E-01   8.4973E-02   6.9599E-02
  1.0200   2.1217E-01   1.4418E-01   1.0677E-01   8.3898E-02   6.8755E-02
  1.0300   2.0867E-01   1.4208E-01   1.0533E-01   8.2838E-02   6.7921E-02
  1.0400   2.0524E-01   1.4001E-01   1.0392E-01   8.1791E-02   6.7098E-02
  1.0500   2.0187E-01   1.3797E-01   1.0253E-01   8.0759E-02   6.6285E-02
  1.0600   1.9857E-01   1.3597E-01   1.0116E-01   7.9741E-02   6.5483E-02
  1.0700   1.9534E-01   1.3400E-01   9.9814E-02   7.8736E-02   6.4690E-02
  1.0800   1.9216E-01   1.3206E-01   9.8484E-02   7.7744E-02   6.3908E-02
  1.0900   1.8905E-01   1.3016E-01   9.7173E-02   7.6766E-02   6.3135E-02
  1.1000   1.8599E-01   1.2828E-01   9.5881E-02   7.5801E-02   6.2373E-02
  1.1100   1.8299E-01   1.2644E-01   9.4607E-02   7.4848E-02   6.1619E-02
  1.1200   1.8005E-01   1.2462E-01   9.3352E-02   7.3908E-02   6.0876E-02
  1.1300   1.7717E-01   1.2283E-01   9.2115E-02   7.2981E-02   6.0141E-02
  1.1400   1.7433E-01   1.2108E-01   9.0895E-02   7.2066E-02   5.9416E-02
  1.1500   1.7156E-01   1.1935E-01   8.9693E-02   7.1163E-02   5.8700E-02
  1.1600   1.6883E-01   1.1765E-01   8.8508E-02   7.0272E-02   5.7993E-02
  1.1700   1.6615E-01   1.1597E-01   8.7340E-02   6.9393E-02   5.7294E-02
  1.1800   1.6352E-01   1.1432E-01   8.6189E-02   6.8525E-02   5.6605E-02
  1.1900   1.6094E-01   1.1270E-01   8.5054E-02   6.7669E-02   5.5924E-02
  1.2000   1.5841E-01   1.1110E-01   8.3935E-02   6.6824E-02   5.5251E-02
  1.2100   1.5592E-01   1.0953E-01   8.2831E-02   6.5990E-02   5.4587E-02
  1.2200   1.5348E-01   1.0799E-01   8.1744E-02   6.5168E-02   5.3931E-02
  1.2300   1.5108E-01   1.0646E-01   8.0672E-02   6.4355E-02   5.3284E-02
  1.2400   1.4873E-01   1.0496E-01   7.9615E-02   6.3554E-02   5.2644E-02
  1.2500   1.4641E-01   1.0349E-01   7.8572E-02   6.2763E-02   5.2013E-02
  1.2600   1.4414E-01   1.0204E-01   7.7545E-02   6.1983E-02   5.1389E-02
  1.2700   1.4191E-01   1.0061E-01   7.6532E-02   6.1212E-02   5.0773E-02
  1.2800   1.3972E-01   9.9197E-02   7.5533E-02   6.0452E-02   5.0165E-02
  1.2900   1.3757E-01   9.7811E-02   7.4548E-02   5.9701E-02   4.9564E-02
  1.3000   1.3545E-01   9.6446E-02   7.3576E-02   5.8961E-02   4.8971E-02
  1.3100   1.3337E-01   9.5101E-02   7.2619E-02   5.8230E-02   4.8385E-02
  1.3200   1.3133E-01   9.3778E-02   7.1674E-02   5.7508E-02   4.7806E-02
  1.3300   1.2933E-01   9.2475E-02   7.0743E-02   5.6796E-02   4.7235E-02
  1.3400   1.2735E-01   9.1191E-02   6.9825E-02   5.6094E-02   4.6670E-02
  1.3500   1.2542E-01   8.9928E-02   6.8919E-02   5.5400E-02   4.6113E-02
  1.3600   1.2351E-01   8.8683E-02   6.8026E-02   5.4715E-02   4.5562E-02
  1.3700   1.2164E-01   8.7457E-02   6.7145E-02   5.4039E-02   4.5018E-02
  1.3800   1.1980E-01   8.6250E-02   6.6277E-02   5.3372E-02   4.4481E-02
  1.3900   1.1800E-01   8.5061E-02   6.5420E-02   5.2714E-02   4.3951E-02
  1.4000   1.1622E-01   8.3890E-02   6.4576E-02   5.2064E-02   4.3427E-02
  1.4100   1.1447E-01   8.2736E-02   6.3742E-02   5.1422E-02   4.2910E-02
  1.4200   1.1276E-01   8.1600E-02   6.2921E-02   5.0789E-02   4.2398E-02
  1.4300   1.1107E-01   8.0481E-02   6.2110E-02   5.0164E-02   4.1894E-02
  1.4400   1.0941E-01   7.9379E-02   6.1311E-02   4.9547E-02   4.1395E-02
  1.4500   1.0778E-01   7.8293E-02   6.0523E-02   4.8937E-02   4.0903E-02
  1.4600   1.0617E-01   7.7223E-02   5.9745E-02   4.8336E-02   4.0416E-02
  1.4700   1.0460E-01   7.6169E-02   5.8978E-02   4.7743E-02   3.9936E-02
  1.4800   1.0304E-01   7.5131E-02   5.8222E-02   4.7157E-02   3.9462E-02
  1.4900   1.0152E-01   7.4108E-02   5.7476E-02   4.6578E-02   3.8993E-02
  1.5000   1.0002E-01   7.3101E-02   5.6739E-02   4.6007E-02   3.8530E-02
  1.5100   9.8544E-02   7.2108E-02   5.6013E-02   4.5443E-02   3.8073E-02
  1.5200   9.7093E-02   7.1130E-02   5.5297E-02   4.4887E-02   3.7621E-02
  1.5300   9.5666E-02   7.0166E-02   5.4591E-02   4.4337E-02   3.7175E-02
  1.5400   9.4263E-02   6.9216E-02   5.3894E-02   4.3795E-02   3.6734E-02
  1.5500   9.2882E-02   6.8281E-02   5.3206E-02   4.3259E-02   3.6299E-02
  1.5600   9.1524E-02   6.7359E-02   5.2528E-02   4.2731E-02   3.5869E-02
  1.5700   9.0188E-02   6.6450E-02   5.1859E-02   4.2209E-02   3.5444E-02
  1.5800   8.8874E-02   6.5555E-02   5.1199E-02   4.1693E-02   3.5025E-02
  1.5900   8.7581E-02   6.4673E-02   5.0548E-02   4.1185E-02   3.4610E-02
  1.6000   8.6308E-02   6.3803E-02   4.9906E-02   4.0682E-02   3.4201E-02
  1.6100   8.5057E-02   6.2946E-02   4.9272E-02   4.0187E-02   3.3797E-02
  1.6200   8.3825E-02   6.2102E-02   4.8647E-02   3.9697E-02   3.3397E-02
  1.6300   8.2613E-02   6.1270E-02   4.8030E-02   3.9214E-02   3.3003E-02
  1.6400   8.1421E-02   6.0450E-02   4.7421E-02   3.8736E-02   3.2613E-02
  1.6500   8.0248E-02   5.9641E-02   4.6821E-02   3.8265E-02   3.2228E-02
  1.6600   7.9093E-02   5.8845E-02   4.6228E-02   3.7800E-02   3.1848E-02
  1.6700   7.7957E-02   5.8059E-02   4.5644E-02   3.7341E-02   3.1472E-02
  1.6800   7.6838E-02   5.7285E-02   4.5067E-02   3.6887E-02   3.1101E-02
